text,Reminder System,Reward Programme,Miscellaneous,MisSelling,Channel of Communication,Inappropriate pricing,Transparency of communication,Ineffectual Customer Service,output,Category
" I've been a loyal customer, but CreditCardCo's reward program feels like a one-sided deal. The annual fee keeps increasing, while the rewards keep shrinking. #Unbalanced",0.001191137,0.595222354,0.020828489,0.033355042,0.00179226,0.3441329,0.000876833,0.002600963,Reward Programme,Reward Programme
" CreditCardCo, your reward program needs a major overhaul. I've accumulated so many points, but the redemption options are lackluster and uninspiring. #RewardProgramFail",0.002722719,0.92161721,0.019715037,0.006180381,0.00260045,0.011563172,0.005380585,0.030220471,Reward Programme,Reward Programme
" Dear CreditCardCo, your automated payment reminder calls are too frequent and disruptive. It would be helpful if I could customize the frequency or switch to a less intrusive mode of communication. #AutomatedCalls #CommunicationPreference",0.568969131,0.007253218,0.034948759,0.00540883,0.223809808,0.006403782,0.011141585,0.142064884,Reminder System,Channel of Communication
" Feeling betrayed by CreditCardCo. They marketed a product specifically for retired pensioners, promising financial security, but it only burdened me with unmanageable debt. #TargetedExploitation #MisSelling",0.000864117,0.001452768,0.003960521,0.816729784,0.000867516,0.121847555,0.000631905,0.053645838,MisSelling,MisSelling
"Feeling frustrated with CreditCardCo's reward program. The points expire too quickly, making it impossible to save up for any meaningful redemption. #ShoExpiration",0.000867305,0.897217989,0.005105296,0.003079867,0.001282698,0.001957783,0.000811589,0.089677475,Reward Programme,Reward Programme
The due date reminders from CreditCardCo are easily overlooked in my cluttered inbox. They need a more attention-grabbing format or subject line. #GetNoticed,0.015286131,0.002110134,0.016366318,0.001788056,0.005026985,0.001651504,0.006415298,0.951355636,Ineffectual Customer Service,Reminder System
"Choosing the right credit card requires careful consideration of interest rates, fees, and rewards programs. It's impoant to compare options before making a decision. #CreditCardSelection",0.011488548,0.822388768,0.062074497,0.018008143,0.023798592,0.016456163,0.028162543,0.017622717,Reward Programme,Reward Programme
Why does CreditCardCo always send impoant updates on weekends or holidays when customer service is unavailable? Inconvenient and frustrating! #Pooiming,0.128835067,0.008622724,0.047680397,0.007029033,0.100237735,0.045040213,0.009899345,0.652655482,Ineffectual Customer Service,Reminder System
" Feeling scammed by CreditCardCo. They convinced me to purchase a high-cost product, promising incredible benefits, but it turned out to be a total rip-off. #FraudulentSales #MisSelling",0.000815387,0.002151702,0.011849874,0.939089894,0.000916892,0.042442635,0.000724554,0.002009145,MisSelling,MisSelling
" CreditCardCo, your email payment reminders often end up in my spam folder, causing me to miss impoant due dates. Please improve the delivery or consider alternative modes of communication. #PaymentReminders #CommunicationIssue",0.019321738,0.001213928,0.005652497,0.000841525,0.022327892,0.001381341,0.001997874,0.947263241,Ineffectual Customer Service,Channel of Communication
"2. We apologize for any inconvenience caused by our pricing structure. Rest assured, we are committed to providing competitive and transparent pricing that benefits our customers. Thank you for your feedback. #TransparentPolicies",0.031970773,0.055010531,0.172443748,0.03923557,0.285339773,0.243090704,0.132406682,0.040502239,Channel of Communication,Inappropriate pricing
7. Why does CreditCardCo have such high default interest rates? It's like they want to profit off people's financial struggles. #ExploitativePricing,0.002167648,0.003642807,0.029100208,0.057788275,0.003738916,0.900955558,0.001112603,0.001494034,Inappropriate pricing,Inappropriate pricing
3. Thank you for bringing the issue of altered product pricing to our attention. We value your feedback and are committed to considering the impact on our customers before making any changes. #CustomerFirst,0.005698207,0.007552008,0.025081942,0.02731612,0.496989936,0.033874456,0.397147089,0.006340308,Channel of Communication,Inappropriate pricing
"7. We apologize for any inconvenience caused by our pricing structure. Your feedback is impoant to us, and we are committed to evaluating and adjusting our fees to better align with customer needs. Thank you for your input. #CustomerCentricApproach",0.006541412,0.00929278,0.030001225,0.006818144,0.464036435,0.126147792,0.346976131,0.010186144,Channel of Communication,Inappropriate pricing
"3. Thank you for bringing the issue of product pricing to our attention. We value your feedback and are dedicated to ensuring that any pricing changes are communicated effectively, with customer impact in mind. #CustomerFeedbackMatters",0.003468842,0.003666752,0.009777173,0.002641269,0.499092668,0.003529954,0.474966079,0.002857308,Channel of Communication,Inappropriate pricing
"3. Thank you for bringing the issue of product pricing to our attention. We value your feedback and are dedicated to ensuring that any pricing changes are communicated effectively, with customer impact in mind. #CustomerFeedbackMatters",0.003468842,0.003666752,0.009777173,0.002641269,0.499092668,0.003529954,0.474966079,0.002857308,Channel of Communication,Inappropriate pricing
"18. Thank you for sharing your concerns about altered product pricing. We genuinely appreciate your feedback, and we are committed to considering the impact on our customers when making pricing decisions. #CustomerImpactConsidered",0.028769407,0.033418242,0.148545235,0.03003896,0.424786866,0.03275669,0.274363935,0.027320681,Channel of Communication,Inappropriate pricing
"3. Thank you for bringing the issue of product pricing to our attention. We value your feedback and are dedicated to ensuring that any pricing changes are communicated effectively, with customer impact in mind. #CustomerFeedbackMatters",0.003468842,0.003666752,0.009777173,0.002641269,0.499092668,0.003529954,0.474966079,0.002857308,Channel of Communication,Inappropriate pricing
"4. Dear CreditCardCo, offering a two-day grace period after the payment due date could be helpful for customers who occasionally miss the deadline. #PaymentReminders",0.79481554,0.002431271,0.012073392,0.001755807,0.150158018,0.001500125,0.025538972,0.011726817,Reminder System,Reminder System
"7. Dear CreditCardCo, providing a summary of changes to terms and conditions in plain language would ensure customers are well-informed. #TransparentCommunication",0.004213179,0.00132554,0.002976817,0.000866367,0.018123725,0.000891589,0.969287574,0.00231527,Transparency of communication,Channel of Communication
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is impoant to us, and we are working on enhancing our communication strategies to ensure timely and effective delivery. Thank you for your patience. #ImprovedTimeliness",0.049776111,0.038684029,0.177648813,0.036061484,0.455997497,0.032899495,0.094353154,0.114579394,Channel of Communication,Reminder System
"16. Hey CreditCardCo, sending payment reminders on the day of the due date is counterproductive. Give customers enough time to respond! #LastMinuteReminder",0.283214062,0.001194396,0.007543301,0.012821586,0.158676207,0.00263886,0.003003024,0.530908644,Ineffectual Customer Service,Reminder System
19. Why does CreditCardCo always send impoant updates during peak business hours when it's difficult to reach customer service? Consider our availability! #InconvenientTiming,0.138424948,0.010105492,0.039284814,0.008035209,0.34559238,0.004019528,0.013222983,0.441314608,Ineffectual Customer Service,Reminder System
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is impoant to us, and we are working on enhancing our communication strategies to ensure timely and effective delivery. Thank you for your patience. #ImprovedTimeliness",0.049776111,0.038684029,0.177648813,0.036061484,0.455997497,0.032899495,0.094353154,0.114579394,Channel of Communication,Reminder System
"16. Hey CreditCardCo, sending payment due reminders after the due date has passed is counterproductive. Improve your timing! #LateReminder",0.237918139,0.001385215,0.004542661,0.022270493,0.039284613,0.003061413,0.003123112,0.688414335,Ineffectual Customer Service,Reminder System
"9. Credit card rewards programs can offer value, but it's essential to assess spending habits and choose a program that aligns with personal preferences. #RewardsEvaluation",0.042623214,0.399169832,0.279962361,0.070639946,0.062451087,0.046950862,0.060329448,0.037873283,Reward Programme,Reward Programme
"3. Suggestion for CreditCardCo: Implement a mobile app feature that sends push notifications for payment reminders, ensuring timely payments. #PaymentReminders",0.059187528,0.044220563,0.109042257,0.026684921,0.41274336,0.025488799,0.27279532,0.049837288,Channel of Communication,Reminder System
"12. Hey CreditCardCo, integrating payment reminder ales with viual assistant platforms like Siri or Google Assistant would make it convenient for customers to stay informed. #PaymentReminders",0.553890407,0.028693967,0.128538892,0.02237423,0.11648421,0.014664981,0.105926834,0.029426523,Reminder System,Reminder System
"14. Suggestion for CreditCardCo: Explore the option of sending payment reminders through social media platforms, like Twitter or Facebook, for quick and easy access. #PaymentReminders",0.009307366,0.002464675,0.018665681,0.001315289,0.938430905,0.000715394,0.025761463,0.003339189,Channel of Communication,Reminder System
"15. Dear CreditCardCo, providing an option for customers to schedule payment reminder calls or texts at specific times that suit their preferences would be helpful. #PaymentReminders",0.306386888,0.00200794,0.007548754,0.001090167,0.662494302,0.000934216,0.015854038,0.003683762,Channel of Communication,Reminder System
17. Suggestion for CreditCardCo: Offering a dedicated mobile app widget that displays upcoming payment due dates on the home screen would serve as a constant reminder. #PaymentReminders,0.380091876,0.044274569,0.196866453,0.028475955,0.062568031,0.019483577,0.197325185,0.07091441,Reminder System,Reminder System
"6. Transparency matters! CreditCardCo, consider providing a breakdown of fees and charges on monthly statements to help customers better understand their expenses. #TransparentCommunication",0.001068219,0.00152133,0.004799441,0.000667392,0.003171445,0.000824415,0.987022996,0.00092477,Transparency of communication,Transparency of communication
"4. We understand the impoance of timely communication. Your feedback is valuable, and we are actively working to enhance the timing of our messages to better serve you. Thank you for your patience. #ImprovedTiming",0.070178211,0.049659222,0.150290981,0.055674601,0.344870538,0.048529122,0.219527707,0.061269611,Channel of Communication,Reminder System
13. Kudos to CreditCardCo for their interactive chatbot service for payment reminders. It's a user-friendly and accessible way to receive notifications. #PaymentReminders,0.029309733,0.015091963,0.090539999,0.009636064,0.204614863,0.011624553,0.628950298,0.010232494,Transparency of communication,Reminder System
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is impoant to us, and we are working on enhancing our communication strategies to ensure timely and effective delivery. Thank you for your patience. #ImprovedTimeliness",0.049776111,0.038684029,0.177648813,0.036061484,0.455997497,0.032899495,0.094353154,0.114579394,Channel of Communication,Reminder System
17. The credit card I received from CreditCardCo doesn't match the features and rewards they adveised. It's a letdown. #MismatchedOffer,0.009016319,0.059879113,0.305947006,0.569447637,0.009077617,0.011789713,0.007181747,0.027660802,MisSelling,Reward Programme
5. Curious to learn more about the new credit card schemes from CreditCardCo. Will they offer better rewards and perks compared to the existing ones? #Competition,0.042173106,0.588161469,0.121049613,0.045575563,0.072150595,0.032215245,0.073811784,0.024862655,Reward Programme,Reward Programme
7. We apologize for any inconvenience caused by our pricing structure. We're committed to ensuring fairness and transparency in all our fee policies. Your feedback is impoant to us. #FairPricing,0.002933012,0.005377246,0.012577332,0.002418172,0.964210749,0.003157029,0.00668702,0.002639452,Channel of Communication,Transparency of communication
"9. Suggestion for CreditCardCo: Clearly state the consequences of missed payments, such as late fees and interest charges, to help customers make informed decisions. #TransparentCommunication",0.003517969,0.000685835,0.004678894,0.001324722,0.016711859,0.001027936,0.966891766,0.005161026,Transparency of communication,Channel of Communication
"4. CreditCardCo, the notifications on your mobile app for payment reminders are glitchy and don't always show up. This makes it difficult for me to stay on top of my payments. Please fix this issue as soon as possible. #AppProblems #PaymentReminders",0.002947142,0.003655403,0.052938659,0.001539962,0.001538795,0.003288528,0.014511658,0.919579864,Ineffectual Customer Service,Channel of Communication
"18. Received a promotional email from CreditCardCo about a limited-time offer, but it expired before I even read it. Improve your timing, please! #MissedOppounity",0.001779258,0.002248632,0.014024539,0.08613278,0.066594332,0.001457567,0.001389851,0.826373041,Ineffectual Customer Service,Reminder System
2. Impressed with the generous rewards program offered by CreditCardCo. I've been able to earn valuable points and redeem them for amazing perks. #RewardingExperience,0.001048466,0.990973949,0.003085546,0.000733896,0.001248537,0.000835713,0.001248123,0.000825863,Reward Programme,Reward Programme
"4. We understand the impoance of timely communication. Your feedback is valuable, and we are actively working to enhance the timing of our messages to better serve you. Thank you for your patience. #ImprovedTiming",0.070178211,0.049659222,0.150290981,0.055674601,0.344870538,0.048529122,0.219527707,0.061269611,Channel of Communication,Reminder System
9. The announcement from CreditCardCo about their schemes is generating buzz. I'll reserve my opinion until I have more information on the eligibility criteria and rewards structure. #InformedDecisions,0.008304885,0.743580163,0.041514594,0.013001193,0.136785388,0.007149669,0.043992855,0.005671219,Reward Programme,Reward Programme
Beware of CreditCardCo's tactics! They pushed me into a high-cost product that didn't suit my needs. Shameful sales practices. #DeceptiveSales #MisSelling,0.001247502,0.001815079,0.02042314,0.936746538,0.001888901,0.007176274,0.000546489,0.0301561,MisSelling,MisSelling
Just discovered that CreditCardCo's so-called 'exclusive offer' for retired pensioners was nothing more than a trap. The hidden fees and high costs are pushing me into financial hardship. #DeceptiveSales #MisSelling,0.000568719,0.001752429,0.008983213,0.959757388,0.000914563,0.026778713,0.000459019,0.000785972,MisSelling,MisSelling
"Just realized that the high-cost product I purchased with my credit card was completely misrepresented. CreditCardCo, this is unacceptable! #MisSold#Misselling",0.000663737,0.000954624,0.009643786,0.634121358,0.001061676,0.347985029,0.000545291,0.005024446,MisSelling,MisSelling
"2. Thanks to my credit card rewards program, I just redeemed my points for a free flight! Best feeling ever! #RewardsProgram",0.000922223,0.991689086,0.002524334,0.000665662,0.001684975,0.000853934,0.000946829,0.000713,Reward Programme,Reward Programme
"4. I appreciate the transparency of CreditCardCo. They clearly communicate all the fees and charges associated with their credit cards, ensuring no surprises. #HonestyWins",0.000705396,0.001827414,0.005739835,0.000661727,0.067619011,0.000599235,0.92220372,0.000643684,Transparency of communication,Transparency of communication
"4. We apologize for the timing of our communication. Your feedback is valuable, and we're working to improve the effectiveness and relevance of our messages. Thank you for bringing it to our attention. #TimelyCommunication",0.094633251,0.05811625,0.256010264,0.058869142,0.245376632,0.054821275,0.11034926,0.121824004,Miscellaneous,Reminder System
"5. Hey CreditCardCo, integrating payment reminders with popular personal finance apps would be convenient for users to stay on top of their payments. #PaymentReminders",0.108292714,0.128702879,0.215371624,0.08519607,0.089052752,0.046106573,0.238905504,0.088371828,Transparency of communication,Reminder System
6. A big thumbs up to CreditCardCo for their proactive communication regarding the recent credit card data breach. They promptly notified and assured customers of enhanced security measures. Well done! #DataSecurity,0.001383352,0.002738868,0.003764234,0.000926326,0.261911005,0.001331045,0.726761222,0.001183908,Transparency of communication,Channel of Communication
"8. Hey CreditCardCo, consider sending proactive notifications to customers about any adjustments in interest rates, ensuring transparency and avoiding surprises. #TransparentCommunication",0.005725062,0.000811293,0.00249121,0.000728807,0.010505735,0.000711818,0.97823298,0.0007931,Transparency of communication,Transparency of communication
"3. Dear CreditCardCo, your voicemail reminders for payments are barely audible, and I can't understand the details. It's frustrating and ineffective. Please improve the quality or switch to another mode of communication. #PoorVoicemail #PaymentReminders",0.018361924,0.001010859,0.003318818,0.001477334,0.063387029,0.00075549,0.001114964,0.910573542,Ineffectual Customer Service,Channel of Communication
"16. Hats off to CreditCardCo for their proactive communication about the upcoming changes to their credit card terms and conditions. They provided a comprehensive explanation, ensuring transparency. Well done! #TermsAndConditions",0.000656575,0.000884579,0.002850714,0.000408237,0.122551158,0.000576581,0.871625543,0.000446617,Transparency of communication,Transparency of communication
14. The credit card terms with CreditCardCo keep changing without warning. It's hard to trust a company that doesn't value transparency. #LackOfConsistency,0.029049555,0.105378382,0.381930441,0.191265717,0.029008491,0.058000073,0.127504408,0.077862971,Miscellaneous,Transparency of communication
"11. Dear CreditCardCo, allowing customers to choose their preferred mode of payment reminder communication, such as email, text, or phone call, would cater to diverse preferences. #PaymentReminders",0.150548875,0.002505529,0.012668379,0.001222234,0.821713924,0.001079937,0.008199187,0.002061895,Channel of Communication,Channel of Communication
"16. Credit card rewards can be earned through regular spending, but it's impoant to assess whether the benefits offset any potential interest charges or fees. #RewardsAssessment",0.039408874,0.564238906,0.161162391,0.048902832,0.053833306,0.039868604,0.061633673,0.030951472,Reward Programme,Reward Programme
17. The notification from CreditCardCo about changes to my account arrived weeks after the changes were implemented. Stay on top of your communication! #DelayedUpdates,0.011531984,0.003014195,0.021909066,0.00124444,0.180998489,0.001280859,0.004554447,0.775466502,Ineffectual Customer Service,Channel of Communication
19. I'm grateful to CreditCardCo for their competitive cashback program. It's rewarding to earn money back on my spending. #CashbackBonanza,0.001042701,0.981134593,0.009340143,0.000760831,0.003006248,0.00086147,0.002988642,0.000865389,Reward Programme,Reward Programme
"5. Received a credit card offer from CreditCardCo, but their rewards program doesn't align with my spending habits at all. Do your research! #MismatchedOffer",0.003318131,0.670306921,0.137352258,0.150908515,0.00483296,0.004143599,0.002982227,0.026155431,Reward Programme,Reward Programme
"8. We understand the impoance of timely billing information. Our team is addressing the delay issue, and we'll ensure your next statement is delivered promptly. Thank you for your patience. #TimelyCommunication",0.081568696,0.069350846,0.127207756,0.046062648,0.412675649,0.058739994,0.137998015,0.066396423,Channel of Communication,Channel of Communication
"11. Hey CreditCardCo, incorporating SMS-based payment reminders with a direct link for one-click payment could simplify the process for customers. #PaymentReminders",0.427248746,0.005269771,0.024028709,0.003244253,0.49701637,0.002054466,0.037126619,0.004011137,Channel of Communication,Reminder System
4. It's refreshing to see a company take responsibility for mis-selling a credit card. Kudos to my bank for acknowledging the issue and working towards a fair resolution. Appreciate your commitment to customer satisfaction! #Accountability #Impressed,0.000884148,0.0016388,0.010991219,0.976620018,0.003748518,0.00144873,0.003906363,0.000762205,MisSelling,MisSelling
"5. Mis-selling incidents can be frustrating, but I'm glad my bank listened to my concerns and took corrective measures. They've regained my trust by addressing the situation promptly. Thank you for valuing your customers! #TrustRestored #HappyCustomer",0.000910768,0.001597565,0.008341397,0.803922296,0.077330671,0.003194062,0.103865884,0.000837371,MisSelling,MisSelling
"7. Hats off to the bank for their transparency and accountability. They acknowledged the mis-selling of credit cards, reached out to affected customers, and offered suitable solutions. Refreshing to see such integrity! #Transparency #Impressive",0.002690011,0.005205703,0.025951736,0.906779647,0.033717331,0.002670063,0.02137745,0.001608032,MisSelling,MisSelling
"8. Got caught up in a mis-selling incident with my credit card, but the bank's resolution team was on top of it. They rectified the issue swiftly, leaving me with a positive impression. Thanks for the quick response! #EffectiveResolution #SatisfiedCustomer",0.001616159,0.002074208,0.014500244,0.84651798,0.05651674,0.067171223,0.011001252,0.000602224,MisSelling,MisSelling
"2. Seriously creditcardco, how can you justify the exorbitant annual fees and high interest rates? It feels like a rip-off. #UnfairPricing",0.001508456,0.002777645,0.0053163,0.209483385,0.001793203,0.77743721,0.00066712,0.001016649,Inappropriate pricing,Inappropriate pricing
"3. creditcardco, your pricing structure is a maze I can't navigate. Hidden fees, penalties, and confusing terms make it impossible to understand what I'm paying for. #TransparencyPlease",0.00947228,0.011936047,0.048693225,0.106687032,0.021903183,0.656568766,0.101600461,0.043139011,Inappropriate pricing,Inappropriate pricing
4. Just got hit with unexpected charges from creditcardco. What's up with that? Can't you be more upfront about your pricing? #PriceSurprise,0.001466866,0.001609296,0.007884598,0.052193999,0.055102207,0.450965047,0.010387743,0.420390189,Inappropriate pricing,Inappropriate pricing
"6. As a loyal customer, I expect better from creditcardco. Your arbitrary pricing changes are leaving a sour taste in my mouth. #CustomerDissatisfaction",0.001690479,0.002482394,0.010155918,0.004898531,0.336402148,0.395858854,0.000995211,0.247516438,Inappropriate pricing,Inappropriate pricing
"8. Dear creditcardco, your tiered pricing system seems like a way to squeeze more money out of hardworking individuals. #PriceDiscrimination",0.001980221,0.004125955,0.010417778,0.247867778,0.002245526,0.728323102,0.001624008,0.003415651,Inappropriate pricing,Inappropriate pricing
9. I'm tired of creditcardco's unpredictable pricing. It's time for transparency and fair treatment of customers. #PriceStability,0.002734332,0.006056468,0.047150794,0.017897291,0.026627455,0.881270587,0.004585937,0.013677082,Inappropriate pricing,Inappropriate pricing
"10. Hey creditcardco, your pricing changes without warning are making it difficult for me to budget. Can we get some consistency, please? #BudgetingNightmare",0.00120637,0.002076154,0.002479816,0.004084478,0.52209723,0.187480628,0.001870793,0.278704554,Channel of Communication,Inappropriate pricing
"1. creditcardco, your pricing games are driving me crazy! It's like a never-ending roller coaster of charges and fees. #PriceMadness",0.002013669,0.003608629,0.015206137,0.031018676,0.002613674,0.93785429,0.001538554,0.006146368,Inappropriate pricing,Inappropriate pricing
"3. It's frustrating how creditcardco lures customers with low introductory rates only to skyrocket them later. No more deceptive pricing, please! #FalsePromises",0.001146935,0.001309397,0.004393622,0.529724121,0.002207649,0.454641253,0.001026981,0.005550052,MisSelling,Inappropriate pricing
"4. Dear creditcardco, your pricing tactics are predatory and unfair. Stop preying on people's financial vulnerability! #UnethicalPricing",0.00227256,0.002002786,0.003685143,0.031932853,0.002421749,0.955245376,0.000859568,0.001579969,Inappropriate pricing,Inappropriate pricing
"6. Hey creditcardco, your hidden fees and fine print are a masterclass in deceptive pricing. Time to clean up your act! #PricingTricks",0.002121641,0.004530818,0.00592942,0.10006614,0.001943969,0.882491946,0.001504228,0.001411884,Inappropriate pricing,Inappropriate pricing
"7. creditcardco, your pricing structure is a nightmare. It's like you want to confuse and frustrate your customers on purpose. #CustomerExploitation",0.00113061,0.002472128,0.00740453,0.229061782,0.00153946,0.750143945,0.000929308,0.007318268,Inappropriate pricing,Inappropriate pricing
"9. Hey creditcardco, your pricing is out of touch with reality. People are struggling, and you're making it worse with your unjust charges. #InsensitivePricing",0.001349367,0.0015775,0.008891017,0.106412239,0.004048489,0.875729024,0.000980498,0.001011931,Inappropriate pricing,Inappropriate pricing
"10. creditcardco, your pricing structure is designed to trap people in debt. It's time to prioritize financial well-being over profits. #DebtTrap",0.000933262,0.002333482,0.003579163,0.179952934,0.000872436,0.810837328,0.000757846,0.000733536,Inappropriate pricing,Inappropriate pricing
"12. Dear creditcardco, your pricing changes are like a bad soap opera. Just when we think it's over, there's another twist. #NeverEndingFees",0.027116435,0.024948485,0.117945477,0.056769725,0.029091032,0.674749732,0.022112885,0.047266234,Inappropriate pricing,Inappropriate pricing
"13. creditcardco, your pricing transparency is non-existent. It's time to come clean and stop hiding behind confusing terms and conditions. #HiddenCharges",0.003751523,0.006188776,0.018899716,0.058935009,0.007925505,0.782619476,0.026718378,0.094961621,Inappropriate pricing,Inappropriate pricing
"15. creditcardco, your pricing structure is a maze I can't escape. It's time for you to simplify and provide clarity to your customers. #PricingConfusion",0.006411997,0.013644498,0.082285918,0.007631412,0.008777331,0.839531541,0.00998678,0.031730529,Inappropriate pricing,Inappropriate pricing
"16. Another month, another surprise fee from creditcardco. It's like they're making up charges just to see how much they can get away with. #FeeFrustration",0.008543003,0.006295715,0.088848434,0.023187295,0.008772252,0.848163962,0.006167403,0.01002192,Inappropriate pricing,Inappropriate pricing
13. Thank you for bringing the issue of altered product pricing to our attention. We take customer impact seriously and will carefully consider all aspects before making any changes in the future. #CustomerCentricApproach,0.019939892,0.028353104,0.103775695,0.03999424,0.398784846,0.103520088,0.27535978,0.030272307,Channel of Communication,Inappropriate pricing
10. Tired of CreditCardCo's predatory pricing structure. They intentionally keep the interest rates sky-high to trap customers in debt. #PredatoryLending,0.00141182,0.001782923,0.011526438,0.010812811,0.001774615,0.970083892,0.000907278,0.00170022,Inappropriate pricing,Inappropriate pricing
"12. We apologize if our pricing structure has caused any inconvenience. Your feedback is valuable, and we are actively reviewing and adjusting our fees and charges to better serve our customers. Thank you for your understanding. #CustomerOriented",0.008563022,0.011811976,0.023683179,0.00836329,0.654618859,0.043161128,0.235943675,0.013854831,Channel of Communication,Inappropriate pricing
"12. We apologize if our pricing structure has caused any inconvenience. Your feedback is valuable, and we are actively reviewing and adjusting our fees and charges to better serve our customers. Thank you for your understanding. #CustomerOriented",0.008563022,0.011811976,0.023683179,0.00836329,0.654618859,0.043161128,0.235943675,0.013854831,Channel of Communication,Inappropriate pricing
10. Frustrated with CreditCardCo's pricing structure. They purposely make the terms confusing to take advantage of customers' lack of understanding. #ExploitativePractices,0.003632465,0.006331131,0.017222406,0.282359421,0.003770622,0.677102327,0.002827955,0.006753713,Inappropriate pricing,Inappropriate pricing
"13. Thank you for bringing the issue of product pricing to our attention. We appreciate your feedback, and we are committed to considering customer impact and feedback when making pricing decisions. #CustomerFeedbackValued",0.014658388,0.017343028,0.051865052,0.015396296,0.639531732,0.026495149,0.21805498,0.016655345,Channel of Communication,Inappropriate pricing
"13. Thank you for bringing the issue of product pricing to our attention. We appreciate your feedback, and we are committed to considering customer impact and feedback when making pricing decisions. #CustomerFeedbackValued",0.014658388,0.017343028,0.051865052,0.015396296,0.639531732,0.026495149,0.21805498,0.016655345,Channel of Communication,Inappropriate pricing
"13. Thank you for bringing the issue of product pricing to our attention. We appreciate your feedback, and we are committed to considering customer impact and feedback when making pricing decisions. #CustomerFeedbackValued",0.014658388,0.017343028,0.051865052,0.015396296,0.639531732,0.026495149,0.21805498,0.016655345,Channel of Communication,Inappropriate pricing
Feeling deceived by CreditCardCo's reward program. The enticing sign-up bonus turned out to be nearly impossible to achieve due to hidden spending requirements. #FalsePromises,0.00050316,0.554518163,0.005453314,0.421437263,0.000972548,0.001169938,0.000666999,0.015278619,Reward Programme,Reward Programme
Feeling frustrated with CreditCardCo's reminder system. It's unreliable and inconsistent. I can't afford to keep missing due dates! #LatePaymentIssues,0.613480449,0.000755125,0.009665153,0.000552555,0.013002306,0.000864729,0.000986839,0.360692799,Reminder System,Reminder System
13. Appreciate CreditCardCo for the transparency in their new credit card schemes. Clear terms and conditions make it easier for customers to make informed decisions. #TransparencyMatters,0.034347113,0.088856377,0.135754824,0.027916625,0.081060618,0.022865534,0.588338256,0.020860698,Transparency of communication,Transparency of communication
13. Received a notice from CreditCardCo about reducing the cashback percentage. They didn't consider how it would affect loyal customers. #RewardsDevaluation,0.004745971,0.452048004,0.008782049,0.031219205,0.006236607,0.372901142,0.003003045,0.121064052,Reward Programme,Reward Programme
